SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.0300, 3, 0.01490299, -1.00436330, -0.02450306, 2.17969608, 2.55185485, -0.70891345, -53.52236176, -14.32329750, -86.49517822, -0.38562447, -1.31720591, -3.76968813, 0.99938601, 0.00374122, 0.01137757, 0.03292709, -0.02265830, -0.00203212, 0.00502204, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0400, 4, 0.02421997, -1.00193763, -0.01789092, 2.20032358, 2.78325558, -0.25199294, -53.37620544, -14.70330334, -86.17362976, -0.31880099, -0.94966024, -3.73732162, 0.99942929, 0.00305072, 0.00819210, 0.03263029, -0.03033476, 0.00395422, 0.00259893, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0500, 5, 0.03769783, -0.99406743, -0.01278571, 1.81071973, 3.16944003, 0.40342641, -53.37620544, -14.70330334, -86.17362976, -0.30072209, -0.95302540, -3.70582724, 0.99943846, 0.00289174, 0.00822739, 0.03235438, -0.03917770, 0.00800751, -0.00524339, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0500, 5, 0.02545735, -0.91203284, -0.39467680, -4.98092985, -4.28597450, -4.05054617, -28.64659500, 27.71119499, -110.72785950, 4.76987743, 0.95645297, 4.63518810, 0.99829584, -0.04124029, -0.01001519, -0.04005513, -0.00250579, -0.03507395, -0.00363961, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.05927708, -1.00973725, 0.07915681, 1.45600176, -2.17677426, 0.60472608, -51.44694519, 5.49546909, -100.84770203, 0.11906049, 7.17552090, 3.21256971, 0.99764919, 0.00071757, -0.06258174, -0.02791133, -0.00678591, 0.01714634, 0.01363721, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, -0.06377514, -1.01349831, 0.08032528, 1.58812714, -1.63721406, 1.36736810, -52.03157043, 4.53083897, -100.32154083, 0.33591869, 7.17170811, 3.25657940, 0.99764025, -0.00114732, -0.06260171, -0.02817616, -0.00321639, 0.01690326, 0.01822455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, -0.06128262, -1.01047957, 0.08125889, 0.84007812, -0.58607191, 1.48084068, -51.62233353, 4.29698896, -100.05846405, 0.34480104, 7.15730333, 3.25142097, 0.99764919, -0.00123106, -0.06247843, -0.02812700, -0.00524477, 0.01522269, 0.01484605, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, -0.06079650, -1.01081681, 0.08128673, 0.64705181, -0.60513753, 0.82426864, -52.32388306, 5.40777540, -100.43846893, 0.35171771, 7.14946604, 3.24613094, 0.99765474, -0.00129610, -0.06241184, -0.02807750, -0.00597067, 0.01509988, 0.01506465, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, -0.06319741, -1.00637102, 0.06681745, 0.44185176, -2.48361969, 0.15139215, -52.32388306, 5.40777540, -100.43846893, 0.35776424, 7.14957476, 3.22233510, 0.99766034, -0.00136168, -0.06241398, -0.02786703, -0.00266678, 0.00080759, 0.01030708, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, -0.07416699, -0.99844736, 0.04929518, 0.09117554, -4.52083683, 0.23491471, -52.14849472, 6.28471184, -100.11692047, 0.36159202, 7.15019274, 3.17769718, 0.99767071, -0.00141917, -0.06241973, -0.02747629, 0.00980709, -0.01629132, 0.00357692, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0600, 6, -0.00407776, -0.90387130, -0.38497218, -6.80672169, -6.03314734, -4.83295536, -29.61122513, 27.21426392, -110.64015961, 4.70006466, 0.97932333, 4.56178761, 0.99834496, -0.04063048, -0.01016400, -0.03941351, 0.02734983, -0.02886598, -0.01552224, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0700, 7, -0.02184348, -0.89812344, -0.36999530, -7.22993946, -7.93763399, -5.10680151, -29.14352417, 27.85735130, -110.66939545, 4.52224922, 0.43654016, 4.40960073, 0.99848026, -0.03927787, -0.00532157, -0.03829110, 0.04294726, -0.01622535, -0.02757153, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0800, 8, -0.03561576, -0.90147418, -0.36140332, -6.16589689, -9.21859074, -4.99909687, -29.14352417, 27.85735130, -110.66939545, 4.45912600, 0.44886327, 4.30585957, 0.99853575, -0.03872858, -0.00537280, -0.03738585, 0.04962081, -0.00449921, -0.02873819, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, -0.08586495, -0.99160379, 0.04460774, 0.42535985, -5.76864433, 0.93037844, -52.32388306, 5.90470600, -100.46769714, 0.14705859, 6.87400103, 3.08764410, 0.99784023, 0.00033461, -0.05996368, -0.02681611, 0.02141009, -0.01970779, -0.00136618, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0900, 9, -0.03783350, -0.90824151, -0.36653697, -3.31957984, -9.14578342, -4.75828695, -29.02659988, 27.74042702, -110.99093628, 4.42445993, 0.45914125, 4.20348978, 0.99858016, -0.03842798, -0.00541672, -0.03649194, 0.05208548, -0.00529032, -0.02047729, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1000, 10, -0.02754290, -0.92599154, -0.37640750, 0.49901295, -7.68745804, -4.21396112, -28.85121346, 27.74042702, -110.78631592, 4.42817307, 0.46976504, 4.11643791, 0.99860615, -0.03846110, -0.00548127, -0.03572958, 0.04210082, -0.00614206, -0.00013885, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1100, 11, -0.00894247, -0.94982541, -0.39358142, 2.04371953, -5.71670723, -3.29049444, -29.02659988, 27.44811440, -111.02017212, 4.44764662, 0.47914588, 4.05101395, 0.99861962, -0.03863102, -0.00554703, -0.03515532, 0.02386725, -0.01130889, 0.02897042, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0600, 6, 0.04652832, -0.99090737, -0.01895366, 1.47337413, 2.81318545, 1.08448911, -53.43466949, -15.37562084, -86.11517334, -0.28603399, -0.96328986, -3.67769742, 0.99944603, 0.00276448, 0.00832174, 0.03210818, -0.04819034, 0.00151774, -0.00817182, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0700, 7, 0.04155787, -0.99104792, -0.02439428, 1.59817672, 0.91743386, 1.79486239, -53.61005402, -14.46945286, -86.23209381, -0.27007776, -0.98104805, -3.66839647, 0.99944758, 0.00262959, 0.00848131, 0.03202622, -0.04347318, -0.00419139, -0.00801951, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0800, 8, 0.02424339, -0.99582857, -0.01718939, 1.48838007, -1.59371841, 2.36069322, -53.72697830, -14.70330334, -85.76439667, -0.25516900, -1.00497198, -3.68407798, 0.99944180, 0.00250743, 0.00869379, 0.03216230, -0.02647221, 0.00281743, -0.00360974, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 16, -0.09495039, -0.99010545, 0.04440421, 0.72146481, -6.87796259, 1.71770918, -51.76848984, 5.81701231, -100.67231750, 0.15913065, 6.86111403, 3.02003503, 0.99786270, 0.00019115, -0.05985442, -0.02622141, 0.02692654, -0.01711088, -0.00160873, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 17, -0.11236329, -0.99627715, 0.04802412, 1.22590768, -7.35907650, 2.24975872, -51.27155685, 4.29698896, -100.26307678, 0.17665747, 6.84323311, 2.94830394, 0.99788827, -0.00000297, -0.05970273, -0.02558809, 0.04254625, -0.01413454, 0.00788629, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1200, 12, 0.00622433, -0.96102113, -0.40649188, 0.64058828, -4.18483591, -2.35302401, -29.02659988, 27.85735130, -110.84477997, 4.19717979, 0.44736969, 4.00173521, 0.99871737, -0.03646028, -0.00517756, -0.03474806, 0.00876909, -0.01707987, 0.04474711, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1300, 13, 0.01323871, -0.95639932, -0.41380048, -3.26907444, -2.88327217, -1.37892449, -29.08506203, 27.94504547, -111.16632080, 4.16402674, 0.44933376, 3.97004747, 0.99873739, -0.03617217, -0.00517462, -0.03447276, 0.00130999, -0.02203374, 0.04359275, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1400, 14, 0.01193641, -0.94119108, -0.40921038, -7.32305670, -2.22047019, -0.72797340, -29.08506203, 27.94504547, -111.16632080, 4.09047985, 0.44770530, 3.94720578, 0.99876738, -0.03553267, -0.00513122, -0.03427749, 0.00250310, -0.02359166, 0.02783691, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1500, 15, 0.00853980, -0.92070174, -0.39757085, -9.88288975, -2.07002687, -0.65114981, -29.08506203, 27.06810760, -110.90324402, 3.99134159, 0.44588804, 3.92621255, 0.99880403, -0.03467006, -0.00507937, -0.03409949, 0.00571473, -0.02062194, 0.00418048, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1600, 16, 0.00372528, -0.90555215, -0.38495651, -9.59980011, -2.08709955, -0.61527073, -28.32505035, 26.39579010, -110.78631592, 3.89502740, 0.44363466, 3.90518427, 0.99883914, -0.03383215, -0.00502486, -0.03392113, 0.01037004, -0.01424405, -0.01513389, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1700, 17, 0.00003456, -0.89632827, -0.37884456, -8.13449955, -1.73802269, -0.58561069, -28.26658821, 27.65273285, -110.61093140, 3.69947600, 0.26460674, 3.85119271, 0.99891442, -0.03218254, -0.00339123, -0.03350957, 0.01318795, -0.01079341, -0.02627427, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1800, 18, -0.00277914, -0.89043093, -0.37911540, -5.06098652, -1.23085916, -0.44152981, -28.73428726, 26.83425903, -110.64015961, 3.64873576, 0.26395103, 3.83845568, 0.99893230, -0.03174079, -0.00336714, -0.03340022, 0.01362641, -0.01106556, -0.03164797, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 18, -0.12962517, -1.00661910, 0.05185855, 1.43369341, -6.74837208, 2.13222623, -51.27155685, 4.29698896, -100.26307678, 0.19583948, 6.82616472, 2.88306069, 0.99791145, -0.00020776, -0.05955827, -0.02501042, 0.05721744, -0.01125350, 0.02145277, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1900, 19, -0.00331883, -0.89231527, -0.38283414, -2.58774924, -0.69030696, -0.28246063, -28.73428726, 26.83425903, -110.64015961, 3.62275314, 0.26389778, 3.83116364, 0.99894160, -0.03151452, -0.00335710, -0.03333743, 0.01418277, -0.01298110, -0.02835691, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0900, 9, 0.01092170, -1.00045991, -0.00478263, 1.55774391, -3.30722761, 2.63687277, -53.90236664, -15.25869656, -85.85208893, -0.05958058, -0.89970440, -3.70705819, 0.99944574, 0.00077360, 0.00783039, 0.03234761, -0.01296094, 0.01424984, 0.00062057, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1000, 10, 0.01113351, -1.01253748, -0.00327411, 1.68595660, -2.76466775, 3.00891232, -53.90236664, -15.25869656, -85.85208893, -0.04270083, -0.93024015, -3.73446536, 0.99943596, 0.00063693, 0.00810133, 0.03258553, -0.01176673, 0.01329134, 0.01264732, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1400, 11, -0.01179667, -0.99467117, -0.01158070, 1.67349052, -2.16197515, 3.85507035, -53.46389771, -14.67407131, -86.02747345, 0.05018710, -1.17437792, -3.80825949, 0.99939549, -0.00009718, 0.01025709, 0.03322097, 0.00794304, 0.00334756, -0.00538257, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1500, 12, -0.01063656, -0.99103355, -0.01395354, 1.45958519, -2.23308063, 4.04879093, -53.46389771, -14.67407131, -86.02747345, 0.06491130, -1.21518397, -3.83022189, 0.99938530, -0.00021173, 0.01061728, 0.03341087, 0.00476707, 0.00039249, -0.00892578, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2000, 20, 0.00177778, -0.89424390, -0.39131397, -1.50673628, -1.07107854, -0.07431757, -29.17275620, 27.65273285, -110.87401581, 3.60756707, 0.26046473, 3.82108665, 0.99894869, -0.03138344, -0.00332000, -0.03325097, 0.00909385, -0.01941104, -0.02287128, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 19, -0.14083797, -1.00970936, 0.06003793, 1.03593194, -4.94569111, 1.94197607, -51.18386459, 5.23238802, -100.02922821, 0.20977817, 6.80988216, 2.83498025, 0.99793035, -0.00035766, -0.05941938, -0.02458493, 0.06727442, -0.00355381, 0.02702993, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 20, -0.13782752, -1.00443256, 0.07037327, 0.14674824, -2.47098041, 1.65904760, -52.00233841, 5.72931862, -100.11692047, 0.31252667, 6.10887098, 2.82303596, 0.99827623, -0.00141004, -0.05333541, -0.02445277, 0.06194832, 0.00651398, 0.02152769, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.2100, 21, 0.00474591, -0.89757276, -0.39942545, -1.85544741, -1.92212820, 0.10252828, -28.50043869, 27.71119499, -110.75708771, 3.58881831, 0.25212479, 3.80385447, 0.99895889, -0.03122291, -0.00323716, -0.03310357, 0.00605121, -0.02493466, -0.01630329, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 21, -0.12363519, -0.99985856, 0.07574943, 0.25112841, -0.54043394, 1.03722775, -52.09003067, 6.13855600, -99.79537964, 0.31553409, 6.09886599, 2.81751704, 0.99828207, -0.00144096, -0.05324883, -0.02440365, 0.03966457, 0.01082325, 0.01366659, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 22, -0.11512615, -0.99972016, 0.08227892, 0.49126196, -0.78024125, 0.26547319, -52.49926758, 5.96316862, -99.29844666, 0.32111529, 6.09671974, 2.81058288, 0.99828446, -0.00149327, -0.05323123, -0.02434072, 0.03117261, 0.01725812, 0.01230663, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.1600, 13, -0.01099592, -0.99593747, -0.02185023, 1.56769288, -2.72458363, 4.40886307, -53.90236664, -15.69716454, -85.32592773, 0.08076087, -1.25965738, -3.85707784, 0.99937326, -0.00033440, 0.01100985, 0.03364321, 0.00445352, -0.00769856, -0.00388966, 0.00000000, 0.00000000, 0.00000000, 0.00000000
