SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.0601, 6, 1.00136852, 0.11219624, 0.00890881, -0.95347011, -2.62195635, 4.83803511, -19.61414719, 75.82578278, -67.69950104, -0.11830550, -1.02533972, 2.88735414, 0.99964225, 0.00080661, 0.00897082, -0.02518399, 0.00419822, -0.00640141, 0.00755590, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0701, 7, 0.99558479, 0.11675756, 0.01079290, -0.32984978, -2.91807032, 5.18431234, -19.76030350, 76.76117706, -68.34259033, -0.08976670, -0.97341222, 2.89313412, 0.99964511, 0.00056864, 0.00851158, -0.02523709, 0.01014273, -0.00874108, 0.00218610, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 7, 0.15274091, -0.98355788, 0.08871218, 1.04224515, 1.69029105, 4.18847132, -44.02221680, 0.46769950, -102.33849335, 0.36228567, 0.94730639, 13.69141102, 0.99283504, -0.00215353, -0.00858456, -0.11916538, -0.02243862, 0.00585947, -0.00139121, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0801, 8, 0.99075538, 0.11678170, 0.00850339, 1.24723518, -3.12578440, 5.53650522, -19.84799767, 76.64425659, -68.31335449, -0.05749760, -0.91797334, 2.88341856, 0.99965143, 0.00030004, 0.00802083, -0.02515508, 0.01153872, -0.00698452, -0.00263919, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0001, 0, 0.06792837, -0.99521232, 0.00454625, -0.68113953, 0.21168721, -1.58389580, -53.28851318, -14.55714703, -84.27360535, 0.77081823, -1.88815284, 47.17346573, 0.91626596, -0.01275650, 0.01240843, -0.40017492, 0.00401369, 0.00915619, -0.00277048, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0101, 1, 0.06509729, -0.99500328, -0.00047244, -0.77086407, 0.24848302, -1.65240538, -53.05466080, -14.90792179, -83.74744415, 0.76327628, -1.87162960, 47.17668533, 0.91625822, -0.01263887, 0.01230228, -0.40019992, 0.00709907, 0.00425467, -0.00319618, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 0.95243865, 0.24456866, 0.16245528, -2.88542295, 4.35242987, -6.61419296, -20.72493362, 73.01958466, -84.71207428, 0.19926770, 0.61745381, -5.03400421, 0.99901891, -0.00197386, -0.00530670, 0.04392450, 0.01366232, -0.00405056, -0.00323953, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0500, 5, 0.95655107, 0.24052659, 0.16053928, -2.81110787, 4.01289892, -6.95622730, -21.92341423, 73.28266144, -84.21514130, 0.19616972, 0.53720033, -5.00591135, 0.99903315, -0.00191498, -0.00460870, 0.04367838, 0.00516582, -0.00389515, -0.00064856, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0600, 6, 0.96752644, 0.23891352, 0.16411592, -3.46405077, 3.52680540, -7.25744486, -21.28032684, 72.75650024, -84.44898987, 0.19664058, 0.45710331, -4.96989107, 0.99904996, -0.00188733, -0.00391081, 0.04336330, 0.00115161, -0.00775473, 0.01001654, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0700, 7, 0.97274035, 0.23553865, 0.16518606, -4.29585361, 3.11041498, -7.62482834, -21.80648994, 73.13651276, -84.62437439, 0.19995777, 0.37623727, -4.92431450, 0.99906969, -0.00188439, -0.00320528, 0.04296494, -0.00390522, -0.01055610, 0.01433765, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0800, 8, 0.97265834, 0.23665982, 0.16405436, -4.91988039, 3.18116331, -7.89561749, -21.80648994, 73.13651276, -84.62437439, 0.20227824, 0.29269928, -4.87250900, 0.99909109, -0.00187218, -0.00247693, 0.04251213, -0.00502934, -0.00903835, 0.01434029, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.0901, 9, 0.99255067, 0.11589023, 0.00329683, 1.65875232, -3.68173814, 5.82572794, -19.81876564, 76.76117706, -67.78719330, -0.06225146, -0.96235180, 2.84877157, 0.99965572, 0.00033430, 0.00840891, -0.02485221, 0.01102835, -0.00222901, -0.00094086, 0.00000000, 0.00000000, 0.00000000, 0.00000000
2, 0.0201, 2, 0.06570444, -0.99394679, -0.00185275, -0.71689481, 0.38588738, -1.65136814, -52.99620056, -15.22946453, -83.80590057, 0.75638896, -1.85510266, 47.18118286, 0.91624570, -0.01252658, 0.01219369, -0.40023518, 0.00667513, 0.00297753, -0.00416888, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 8, 0.15884776, -0.98470956, 0.08114594, 0.65961784, 0.78221357, 4.22721577, -44.13914108, 0.58462435, -102.30926514, 0.36941797, 0.90453345, 13.69487381, 0.99283409, -0.00225958, -0.00822146, -0.11919640, -0.02919879, -0.00194471, -0.00014964, 0.00000000, 0.00000000, 0.00000000, 0.00000000
