SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
3, 0.1099, 11, 1.02693939, 0.16612975, 0.14695472, -4.25450087, 6.99694204, 4.08612919, -20.02338409, 75.38731384, -63.89944458, -4.17232561, -2.90119720, 4.94709539, 0.99812597, 0.03526496, 0.02684521, -0.04219503, 0.02755407, -0.09196758, 0.03864673, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1199, 12, 1.03704619, 0.14379346, 0.14053681, -2.88387322, 5.02082682, 4.53262520, -20.37415886, 75.70885468, -63.63636398, -4.22025728, -2.84892035, 4.96906137, 0.99811363, 0.03569748, 0.02641440, -0.04239240, 0.00631724, -0.08218067, 0.04728407, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1299, 13, 1.02861631, 0.14398314, 0.15610394, 0.49964720, 2.87564754, 4.93415165, -20.37415886, 75.70885468, -63.63636398, -5.31172848, -2.96066070, 5.39000654, 0.99754429, 0.04505689, 0.02795547, -0.04575740, 0.00558061, -0.09248898, 0.03918947, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0300, 3, 0.93310338, 0.25177813, 0.10106515, -15.00247192, -5.64178801, -0.18667187, -20.40339088, 71.47032928, -86.14440155, 4.51295710, 6.57781458, -3.19528985, 0.99712807, -0.04089094, -0.05620802, 0.03007101, 0.08230014, -0.05919074, -0.01932381, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0400, 4, 0.96602476, 0.23988661, 0.12659900, -15.51485538, -2.83947611, 0.42995381, -20.46185303, 71.96726227, -86.29055786, 3.48613381, 5.81316137, -3.16823769, 0.99782723, -0.03176795, -0.04982499, 0.02913803, 0.06929098, -0.08300785, 0.01145699, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0500, 5, 0.97139400, 0.25077969, 0.14556757, -11.84895420, 1.24603844, -0.13274524, -20.54954720, 71.79187012, -85.85208893, 3.45033741, 5.79992104, -3.05892515, 0.99787039, -0.03140580, -0.04974877, 0.02816727, 0.07470972, -0.08173890, 0.02012416, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0600, 6, 0.96095389, 0.27299657, 0.19876963, -12.27957058, 4.18454075, -1.54694080, -20.11107826, 70.24261475, -86.31978607, 3.39349818, 5.76141787, -2.95332265, 0.99792856, -0.03085682, -0.04945587, 0.02721347, 0.11851722, -0.11905956, 0.02349839, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1399, 14, 1.01638293, 0.14850248, 0.16877130, 2.69300056, 1.58002889, 4.97754622, -19.73107338, 75.47500610, -64.01636505, -5.31849098, -2.91223884, 5.35777092, 0.99756444, 0.04514384, 0.02752400, -0.04549522, 0.00825412, -0.09143582, 0.02844217, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1499, 15, 1.02618945, 0.12307080, 0.17161375, 5.18237352, 0.07970773, 4.68900776, -20.14031029, 75.62116241, -63.84098053, -5.30782461, -2.87050104, 5.30218458, 0.99759889, 0.04508157, 0.02713459, -0.04503114, -0.01718060, -0.09154464, 0.03643083, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0000, 0, 0.11974176, -1.04871655, -0.06906379, -24.36565208, 16.07325554, -26.90973091, -43.08681488, 0.96463019, -104.23852539, -3.55653071, 5.74292517, -2.40350342, 0.99807656, 0.02993567, -0.05071036, 0.01938236, 0.08256635, -0.08926548, 0.05560708, 0.00000000, 0.00000000, 0.00000000, 0.00000000
5, 0.0700, 7, 0.97485405, 0.26907635, 0.19858544, -14.31710339, 5.94932127, -3.98517084, -20.16954041, 71.61648560, -86.02747345, 3.32685661, 5.69238520, -2.83166671, 0.99800521, -0.03020993, -0.04890256, 0.02610851, 0.10977931, -0.11951517, 0.03542871, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1599, 16, 1.02098131, 0.11607616, 0.15650266, 7.12651825, -1.44020212, 4.55400848, -19.84799767, 75.73809052, -62.99327469, -5.28004408, -2.83342099, 5.22858477, 0.99764597, 0.04487225, 0.02677208, -0.04441222, -0.02143032, -0.07612203, 0.03080419, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1699, 17, 1.00180054, 0.13141742, 0.13450587, 8.07811260, -3.11566448, 4.13374996, -20.14031029, 75.88424683, -63.75328827, -5.23510885, -2.80304670, 5.14719248, 0.99770075, 0.04451222, 0.02645864, -0.04372647, -0.00194040, -0.05661040, 0.01278489, 0.00000000, 0.00000000, 0.00000000, 0.00000000
3, 0.1799, 18, 0.99536335, 0.14533761, 0.09469537, 8.34373569, -4.60364389, 3.93898010, -20.14031029, 75.88424683, -63.75328827, -5.21744823, -3.00137639, 4.93407774, 0.99774677, 0.04433118, 0.02809606, -0.04179439, 0.01614822, -0.01932053, 0.00756252, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.15187463, -1.00127804, -0.03653138, -26.10692215, 28.66735077, -25.81123543, -43.26220322, 0.81847411, -104.09236908, -3.75786090, 6.00170374, -2.09260154, 0.99795687, 0.03178179, -0.05291181, 0.01650936, 0.03984742, -0.03912842, 0.01352864, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.12697040, -0.95431381, -0.00724552, -27.11352539, 40.22826004, -25.67306900, -43.14527893, 0.08769365, -104.53083801, -3.94527626, 6.26024485, -1.66575778, 0.99783826, 0.03357399, -0.05506524, 0.01262629, 0.06513602, -0.00344725, -0.03272042, 0.00000000, 0.00000000, 0.00000000, 0.00000000
